program,site,station,sample_id,latitude_wgs84,longitude_wgs84,sample_date,sav_incidence,species_code,survey_method,species_incidence,rake_coverage_ordinal
Franks_Tract_Management,franks_tract,A1,FRK_A1_2014-10-07,38.0222583,-121.6055783,2014-10-07,1,EGEDEN,rake_weighted,0,0
Franks_Tract_Management,franks_tract,A1,FRK_A1_2014-10-07,38.0222583,-121.6055783,2014-10-07,1,POTCRI,rake_weighted,0,0
Franks_Tract_Management,franks_tract,A1,FRK_A1_2014-10-07,38.0222583,-121.6055783,2014-10-07,1,CERDEM,rake_weighted,0,0
Franks_Tract_Management,franks_tract,A1,FRK_A1_2014-10-07,38.0222583,-121.6055783,2014-10-07,1,NAJGUA,rake_weighted,0,0
Franks_Tract_Management,franks_tract,A1,FRK_A1_2014-10-07,38.0222583,-121.6055783,2014-10-07,1,STUFIL,rake_weighted,0,0
Franks_Tract_Management,franks_tract,A1,FRK_A1_2014-10-07,38.0222583,-121.6055783,2014-10-07,1,STUPEC,rake_weighted,1,2
Franks_Tract_Management,franks_tract,A1,FRK_A1_2014-10-07,38.0222583,-121.6055783,2014-10-07,1,ELOCAN,rake_weighted,1,1
Franks_Tract_Management,franks_tract,A1,FRK_A1_2014-10-07,38.0222583,-121.6055783,2014-10-07,1,POTRIC,rake_weighted,0,0
Franks_Tract_Management,franks_tract,A1,FRK_A1_2014-10-07,38.0222583,-121.6055783,2014-10-07,1,POTFOL,rake_weighted,0,0
Franks_Tract_Management,franks_tract,A1,FRK_A1_2014-10-07,38.0222583,-121.6055783,2014-10-07,1,POTNOD,rake_weighted,0,0
Franks_Tract_Management,franks_tract,A1,FRK_A1_2014-10-07,38.0222583,-121.6055783,2014-10-07,1,NITELL,rake_weighted,0,0
Franks_Tract_Management,franks_tract,A1,FRK_A1_2014-10-07,38.0222583,-121.6055783,2014-10-07,1,POTPUS,rake_weighted,0,0
Franks_Tract_Management,franks_tract,A1,FRK_A1_2014-10-07,38.0222583,-121.6055783,2014-10-07,1,MYRSPI,rake_weighted,0,0
Franks_Tract_Management,franks_tract,A1,FRK_A1_2014-10-07,38.0222583,-121.6055783,2014-10-07,1,POTZOS,rake_weighted,0,0
Franks_Tract_Management,franks_tract,A1,FRK_A1_2014-10-07,38.0222583,-121.6055783,2014-10-07,1,HETDUB,rake_weighted,0,0
Franks_Tract_Management,franks_tract,A3,FRK_A3_2014-10-07,38.024014,-121.600948,2014-10-07,1,EGEDEN,rake_weighted,0,0
Franks_Tract_Management,franks_tract,A3,FRK_A3_2014-10-07,38.024014,-121.600948,2014-10-07,1,POTCRI,rake_weighted,0,0
Franks_Tract_Management,franks_tract,A3,FRK_A3_2014-10-07,38.024014,-121.600948,2014-10-07,1,CERDEM,rake_weighted,1,1
