program,station,latitude_wgs84,longitude_wgs84,date,sav_incidence,species,survey_method,species_incidence,rake_coverage_ordinal
Franks_Tract_Management,A1,38.0222583,-121.6055783,2014-10-07,1,Egeria_densa,rake_weighted,0,0
Franks_Tract_Management,A1,38.0222583,-121.6055783,2014-10-07,1,Potamogeton_crispus,rake_weighted,0,0
Franks_Tract_Management,A1,38.0222583,-121.6055783,2014-10-07,1,Ceratophyllum_demersum,rake_weighted,0,0
Franks_Tract_Management,A1,38.0222583,-121.6055783,2014-10-07,1,Najas_guadalupensis,rake_weighted,0,0
Franks_Tract_Management,A1,38.0222583,-121.6055783,2014-10-07,1,Stuckenia_filiformis,rake_weighted,0,0
Franks_Tract_Management,A1,38.0222583,-121.6055783,2014-10-07,1,Stuckenia_pectinata,rake_weighted,1,2
Franks_Tract_Management,A1,38.0222583,-121.6055783,2014-10-07,1,Elodea_canadensis,rake_weighted,1,1
Franks_Tract_Management,A1,38.0222583,-121.6055783,2014-10-07,1,Potamogeton_richardsonii,rake_weighted,0,0
Franks_Tract_Management,A1,38.0222583,-121.6055783,2014-10-07,1,Potamogeton_foliosus,rake_weighted,0,0
Franks_Tract_Management,A1,38.0222583,-121.6055783,2014-10-07,1,Potamogeton_nodosus,rake_weighted,0,0
Franks_Tract_Management,A1,38.0222583,-121.6055783,2014-10-07,1,Nitella_sp,rake_weighted,0,0
Franks_Tract_Management,A1,38.0222583,-121.6055783,2014-10-07,1,Potamogeton_pusillus,rake_weighted,0,0
Franks_Tract_Management,A1,38.0222583,-121.6055783,2014-10-07,1,Myriophyllum_spicatum,rake_weighted,0,0
Franks_Tract_Management,A1,38.0222583,-121.6055783,2014-10-07,1,Potamogeton_zosteriformis,rake_weighted,0,0
Franks_Tract_Management,A1,38.0222583,-121.6055783,2014-10-07,1,Heteranthera_dubia,rake_weighted,0,0
Franks_Tract_Management,A3,38.024014,-121.600948,2014-10-07,1,Egeria_densa,rake_weighted,0,0
Franks_Tract_Management,A3,38.024014,-121.600948,2014-10-07,1,Potamogeton_crispus,rake_weighted,0,0
Franks_Tract_Management,A3,38.024014,-121.600948,2014-10-07,1,Ceratophyllum_demersum,rake_weighted,1,1
Franks_Tract_Management,A3,38.024014,-121.600948,2014-10-07,1,Najas_guadalupensis,rake_weighted,0,0
Franks_Tract_Management,A3,38.024014,-121.600948,2014-10-07,1,Stuckenia_filiformis,rake_weighted,0,0
Franks_Tract_Management,A3,38.024014,-121.600948,2014-10-07,1,Stuckenia_pectinata,rake_weighted,0,0
Franks_Tract_Management,A3,38.024014,-121.600948,2014-10-07,1,Elodea_canadensis,rake_weighted,0,0
Franks_Tract_Management,A3,38.024014,-121.600948,2014-10-07,1,Potamogeton_richardsonii,rake_weighted,1,4
Franks_Tract_Management,A3,38.024014,-121.600948,2014-10-07,1,Potamogeton_foliosus,rake_weighted,0,0
Franks_Tract_Management,A3,38.024014,-121.600948,2014-10-07,1,Potamogeton_nodosus,rake_weighted,0,0
Franks_Tract_Management,A3,38.024014,-121.600948,2014-10-07,1,Nitella_sp,rake_weighted,0,0
Franks_Tract_Management,A3,38.024014,-121.600948,2014-10-07,1,Potamogeton_pusillus,rake_weighted,0,0
Franks_Tract_Management,A3,38.024014,-121.600948,2014-10-07,1,Myriophyllum_spicatum,rake_weighted,0,0
Franks_Tract_Management,A3,38.024014,-121.600948,2014-10-07,1,Potamogeton_zosteriformis,rake_weighted,0,0
Franks_Tract_Management,A3,38.024014,-121.600948,2014-10-07,1,Heteranthera_dubia,rake_weighted,0,0
Franks_Tract_Management,A5,38.0241048,-121.6055783,2014-10-07,1,Egeria_densa,rake_weighted,0,0
Franks_Tract_Management,A5,38.0241048,-121.6055783,2014-10-07,1,Potamogeton_crispus,rake_weighted,0,0
Franks_Tract_Management,A5,38.0241048,-121.6055783,2014-10-07,1,Ceratophyllum_demersum,rake_weighted,0,0
Franks_Tract_Management,A5,38.0241048,-121.6055783,2014-10-07,1,Najas_guadalupensis,rake_weighted,1,1
Franks_Tract_Management,A5,38.0241048,-121.6055783,2014-10-07,1,Stuckenia_filiformis,rake_weighted,0,0
Franks_Tract_Management,A5,38.0241048,-121.6055783,2014-10-07,1,Stuckenia_pectinata,rake_weighted,0,0
Franks_Tract_Management,A5,38.0241048,-121.6055783,2014-10-07,1,Elodea_canadensis,rake_weighted,1,2
Franks_Tract_Management,A5,38.0241048,-121.6055783,2014-10-07,1,Potamogeton_richardsonii,rake_weighted,0,0
Franks_Tract_Management,A5,38.0241048,-121.6055783,2014-10-07,1,Potamogeton_foliosus,rake_weighted,0,0
Franks_Tract_Management,A5,38.0241048,-121.6055783,2014-10-07,1,Potamogeton_nodosus,rake_weighted,0,0
Franks_Tract_Management,A5,38.0241048,-121.6055783,2014-10-07,1,Nitella_sp,rake_weighted,0,0
Franks_Tract_Management,A5,38.0241048,-121.6055783,2014-10-07,1,Potamogeton_pusillus,rake_weighted,0,0
Franks_Tract_Management,A5,38.0241048,-121.6055783,2014-10-07,1,Myriophyllum_spicatum,rake_weighted,0,0
Franks_Tract_Management,A5,38.0241048,-121.6055783,2014-10-07,1,Potamogeton_zosteriformis,rake_weighted,0,0
Franks_Tract_Management,A5,38.0241048,-121.6055783,2014-10-07,1,Heteranthera_dubia,rake_weighted,0,0
Franks_Tract_Management,A7,38.0259816,-121.6097878,2014-10-07,1,Egeria_densa,rake_weighted,0,0
Franks_Tract_Management,A7,38.0259816,-121.6097878,2014-10-07,1,Potamogeton_crispus,rake_weighted,0,0
Franks_Tract_Management,A7,38.0259816,-121.6097878,2014-10-07,1,Ceratophyllum_demersum,rake_weighted,1,1
Franks_Tract_Management,A7,38.0259816,-121.6097878,2014-10-07,1,Najas_guadalupensis,rake_weighted,0,0
Franks_Tract_Management,A7,38.0259816,-121.6097878,2014-10-07,1,Stuckenia_filiformis,rake_weighted,0,0
Franks_Tract_Management,A7,38.0259816,-121.6097878,2014-10-07,1,Stuckenia_pectinata,rake_weighted,0,0
Franks_Tract_Management,A7,38.0259816,-121.6097878,2014-10-07,1,Elodea_canadensis,rake_weighted,1,1
Franks_Tract_Management,A7,38.0259816,-121.6097878,2014-10-07,1,Potamogeton_richardsonii,rake_weighted,0,0
Franks_Tract_Management,A7,38.0259816,-121.6097878,2014-10-07,1,Potamogeton_foliosus,rake_weighted,0,0
Franks_Tract_Management,A7,38.0259816,-121.6097878,2014-10-07,1,Potamogeton_nodosus,rake_weighted,0,0
