SampleID_key,SampleID_frp,VisitNo,QAQC,GearType,GearTypeAbbreviation,Habitat,SeineCode,TowDirection,HabitatMorphology,DepthOfWater,CableOut,LengthOfTrawl,Width,Netter,StartTime,EndTime,Duration,PercentOpen,DepthOfSample,LatitudeStart,LongitudeStart,LatitudeEnd,LongitudeEnd,NetMeterSerial,NetMeterStart,NetMeterEnd,Volts,DutyCycle,Amps,PulseRate,VolumeEstimated,SeineDeploymentType,GearDetail,Silt,Sand,Gravel,Cobble,Boulder,Organics,MassOfStandardLow,MassOfStandardHigh,QuestionableData,VegetationInSample,FlowType,DragMethod,NetNumber,CodEnd,GpsUnit,GpsAccuracy,Comments
1,1/29/2014_1391103818,1703,false,efish,BOEFISH,, , 3= unknown, , ,,, ,,10:15,, 1728, , , , , , , ,,,,,12, 120,, , , , , , , , , , , false, false, ,,, , , , 
2,1/29/2014_-568240364,1054,false,efish,BOEFISH,, , 3= unknown, , ,,, ,,11:30,, 1990, , , , , , , ,,,,,12, 120,, , , , , , , , , , , false, false, ,,, , , , 
3,1/29/2014_750984590,1677,false,efish,BOEFISH,, , 3= unknown, , ,,, ,,,14:00, 1188, , , , , , , ,,,,,12, 120,, , , , , , , , , , , false, false, ,,, , , , 
4,10/3/2012_-1060860616,1039,false,efish,BOEFISH,, , 3= unknown, , ,,, ,,12:25,12:40, 357, , , , , , , ,,,,,16, 60,, , , , , , , , , , , false, false, ,,, , , , E-boat test. Dozen plus carp not netted; 10 catfish not netted
5,10/3/2012_1349364578,1696,false,efish,BOEFISH,, , 3= unknown, , ,,, ,,10:10,11:10, 1277, , , , , , , ,,,,,16, 60,, , , , , , , , , , , false, false, ,,, , , , E-boat test
6,10/3/2012_1353554347,1698,false,efish,BOEFISH,, , 3= unknown, , ,,, ,,13:35,13:50, 378, , , , , , , ,,,,,16, 60,, , , , , , , , , , , false, false, ,,, , , , E-boat test. Carp not netted
7,150um-1-24Mar2016,1203,false,Trawl,ZOOP,, , 3= unknown, , 2,,, ,,07:28,07:33, 5, , , 38.24501, 121.66361, , , 27304,104312,117179,,,, ,5.8, , , , , , , , , , , false, false, ,,, , , , Mysid net was 25% out of the water; tows were taken sequentially; 5-minutes each. Used flow coming onto the island from side channel.
8,150um-1-25Mar2016,1209,false,Trawl,ZOOP,, , 3= unknown, , ,,, ,,07:17,07:48, 5, , , 38.08419, 121.72389, , , 27304,135505,140216,,,, ,2.1, , , , , , , , , , , false, false, ,,, , , , Sequential 5-minute tows
9,150um-2-24Mar2016,1204,false,Trawl,ZOOP,, , 3= unknown, , ,,, ,,08:35,08:40, 5, , , 38.24501, 121.66361, , , ,,,,,, ,4.2, , , , , , , , , , , false, false, ,,, , , , No Zooplankton sample. Flowmeter may not have been working right. Current was flowing onto the island
10,150um-2-25Mar2016,1210,false,Trawl,ZOOP,, , 3= unknown, , ,,, ,,08:14,08:40, 5, , , 38.08419, 121.72389, , , 27304,140216,146389,,,, ,2.8, , , , , , , , , , , false, false, ,,, , , , Sequential 5-minute tows; water flowing off the island
